Name,Height_cm,Height_ft,Weight_kg,Weight_lbs,Age_yrs,Position,Cleaned_Position,Team_Name,Team_URL
Oskar Bäck,188,6.167979002624672,87.089664,192,24,Centre,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Jamie Benn,188,6.167979002624672,95.25431999999999,210,35,Left wing,leftwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Lian Bichsel,196,6.430446194225722,97.975872,216,20,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Colin Blackwell,175,5.741469816272966,81.64656,180,31,Center,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Matěj Blümel,183,6.003937007874016,89.811216,198,24,Winger,winger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Mavrik Bourque,180,5.905511811023622,83.91452,185,22,Centre,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Kyle Capobianco,185,6.069553805774278,81.192968,179,27,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Evgenii Dadonov,179,5.8727034120734904,83.91452,185,35,Right wing,rightwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Casey DeSmith,183,6.003937007874016,82.100152,181,33,Goaltender,goaltender,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Matt Duchene,185,6.069553805774278,88.45044,195,33,Centre / Right wing,centre/rightwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Matt Dumba,183,6.003937007874016,83.007336,183,30,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Mathias Emilio Pettersen,180,5.905511811023622,86.18248,190,24,Centre,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Thomas Harley,191,6.266404199475065,87.543256,193,23,Defense,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Miro Heiskanen,185,6.069553805774278,83.91452,185,25,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Roope Hintz,191,6.266404199475065,102.0582,225,27,Centre/Left wing,centre/leftwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Cameron Hughes,180,5.905511811023622,79.3786,175,27,Center,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Wyatt Johnston,185,6.069553805774278,83.91452,185,21,Centre,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Kole Lind,185,6.069553805774278,80.739376,178,25,Right wing,rightwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Esa Lindell,191,6.266404199475065,93.893544,207,30,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Nils Lundkvist,180,5.905511811023622,84.821704,187,24,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Ilya Lyubushkin,188,6.167979002624672,94.80072799999999,209,30,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Mason Marchment,193,6.332020997375328,99.79024,220,29,Left wing,leftwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Jake Oettinger,196,6.430446194225722,99.79024,220,25,Goaltender,goaltender,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Alexander Petrovic,193,6.332020997375328,97.52228,215,32,Defence,defence,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Jason Robertson,191,6.266404199475065,90.7184,200,25,Left wing,leftwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Tyler Seguin,185,6.069553805774278,90.7184,200,32,Forward,forward,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Brendan Smith,185,6.069553805774278,89.811216,198,35,Defence / Left wing,defence/leftwinger,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Logan Stankoven,173,5.675853018372703,77.564232,171,21,Forward,forward,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Sam Steel,180,5.905511811023622,84.368112,186,26,Centre,centre,Dallas_Stars,https://en.wikipedia.org/wiki/Template:Dallas_Stars_roster
Leo Carlsson,191,6.266404199475065,87.996848,194,19,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Calle Clang,188,6.167979002624672,79.83219199999999,176,22,Goaltender,goaltender,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
